price,model,exterior_color,interior_color,number_of_keys,year,miles,make,highway_mpg,city_mpg,car_type,number_of_doors,type_of_transmission,number_of_gears
17990,MKZ,Beige,Beige,2,2014,43470,LINCOLN,37,38,Sedan,4,Auto,CVT
24990,5 SERIES,Gray,Black,1,2014,70982,BMW,25,17,Sedan,4,Auto,8
16590,ECLIPSE CROSS,Gray,Black,1,2019,36117,MITSUBISHI,28,25,SUV,4,Auto,CVT
13990,ESCAPE,Blue,Gray,1,2015,82102,FORD,32,23,SUV,4,Auto,6
30590,ATLAS,Blue,Black,1,2019,24199,VOLKSWAGEN,23,17,SUV,4,Auto,8
25990,PATHFINDER,Gray,Black,2,2020,13152,NISSAN,27,20,SUV,4,Auto,CVT
14990,ENCORE,Silver,Black,1,2015,47673,BUICK,33,25,SUV,4,Auto,6
14590,ENCORE,Brown,Black,1,2015,65538,BUICK,33,25,SUV,4,Auto,6
13990,ROGUE SELECT,White,Other,1,2015,48026,NISSAN,28,23,SUV,4,Auto,CVT
30590,CONVERTIBLE,Silver,Black,1,2018,10753,MINI,33,25,Convertible,2,Auto,6
14990,SENTRA,Gray,Black,1,2019,13839,NISSAN,37,29,Sedan,4,Auto,CVT
15990,FUSION,Gray,Black,1,2019,43186,FORD,34,23,Sedan,4,Auto,6
17990,GRAND CARAVAN PASSENGER,Silver,Black Interior Color,1,2019,45331,DODGE,25,17,Minivan,4,Auto,6
15590,FUSION,Black,Blue,1,2017,31261,FORD,32,21,Sedan,4,Auto,6
15990,ECOSPORT,Red,Beige,2,2018,22438,FORD,29,27,SUV,4,Auto,6
18590,CHEROKEE,Gray,Black Interior Color,1,2019,32235,JEEP,30,21,SUV,4,Auto,9
13990,FOCUS,Gray,Dk. Gray,1,2018,25233,FORD,40,30,Sedan,4,Manual,6
22590,PACIFICA,Gray,Black / Alloy Interior Colors,1,2019,39681,CHRYSLER,28,18,Minivan,4,Auto,9
31990,A5,Gray,Black,1,2018,41000,AUDI,34,24,Sedan,4,Auto,7
18990,CAMARO,Silver,Black,1,2015,49946,CHEVROLET,30,19,Coupe,2,Auto,6
14990,CIVIC,Blue,Gray,1,2015,75322,HONDA,39,30,Sedan,4,Auto,CVT
30990,WRANGLER UNLIMITED,Silver,Black,2,2017,21886,JEEP,20,16,SUV,4,Auto,5
11990,MIRAGE,Black,Black,1,2019,28365,MITSUBISHI,43,36,Hatchback,4,Auto,CVT
14990,A4,Gray,Black,1,2013,68663,AUDI,31,24,Sedan,4,Auto,CVT
16990,OPTIMA,Black,Black,1,2013,56176,KIA,34,22,Sedan,4,Auto,6
20990,MUSTANG,Gray,Ebony Cloth Blacket Seats,1,2016,15480,FORD,28,19,Coupe,2,Auto,6
16990,A5,Blue,Black,1,2012,76902,AUDI,29,21,Coupe,2,Auto,8
