price,model,exterior_color,interior_color,number_of_keys,year,miles,make,highway_mpg,city_mpg,car_type,number_of_doors,type_of_transmission,number_of_gears
22990,COROLLA HATCHBACK,Black,Black,2,2020,10265,TOYOTA,38,30,Hatchback,4,Auto,CVT
15990,X1,White,Beige,2,2014,61595,BMW,34,23,SUV,4,Auto,8
18590,HIGHLANDER,Gray,Gray,1,2013,61408,TOYOTA,24,18,SUV,4,Auto,5
25590,SORENTO,Silver,Black,1,2019,23274,KIA,26,19,SUV,4,Auto,8
23990,MX-5 MIATA,White,Black,2,2018,20387,MAZDA,33,26,Convertible,2,Manual,6
12590,EQUINOX,Beige,Gray,1,2015,96818,CHEVROLET,32,22,SUV,4,Auto,6
20990,CX-5,Blue,Black,2,2019,9599,MAZDA,31,25,SUV,4,Auto,6
15990,JUKE,White,Black,1,2013,36818,NISSAN,30,25,SUV,4,Auto,CVT
20990,CX-3,Blue,Black,2,2019,21232,MAZDA,32,27,SUV,4,Auto,6
23990,GIULIA,Blue,Black / Tan Interior Colors,2,2017,31434,ALFA_ROMEO,33,24,Sedan,4,Auto,8
29990,WRANGLER,Red,Black,2,2018,9327,JEEP,25,17,SUV,2,Manual,6
18590,C-HR,Gray,Black,2,2019,20536,TOYOTA,31,27,SUV,4,Auto,CVT
14990,CX-9,White,Sand,2,2014,62141,MAZDA,24,17,SUV,4,Auto,6
29990,C-CLASS,Black,Black,2,2018,23105,MERCEDES-BENZ,33,24,Sedan,4,Auto,9
12590,PRIUS,White,Gray,2,2013,101939,TOYOTA,48,51,Hatchback,4,Auto,CVT
17590,VENUE,Black,Black,2,2020,20607,HYUNDAI,34,30,SUV,4,Auto,CVT
22990,ALLROAD,White,Black,2,2015,48261,AUDI,28,21,Wagon,4,Auto,8
13990,COUNTRYMAN,Red,Red,2,2012,63643,MINI,32,25,Hatchback,4,Auto,6
23590,CASCADA,White,Black,2,2016,13010,BUICK,27,20,Convertible,2,Auto,6
19590,COROLLA HATCHBACK,Blue,Black,1,2019,20877,TOYOTA,38,30,Hatchback,4,Auto,CVT
16990,CX-5,Blue,Black,2,2013,59189,MAZDA,32,26,SUV,4,Auto,6
30990,SILVERADO 1500 CREW CAB,White,Black,2,2016,45765,CHEVROLET,23,16,Truck,4,Auto,6
28990,COUNTRYMAN,Red,Black,2,2019,26896,MINI,32,23,Hatchback,4,Auto,8
24590,GLA,Gray,Beige,2,2016,37485,MERCEDES-BENZ,32,24,SUV,4,Auto,7
19990,SRX,Black,Black,2,2015,67573,CADILLAC,23,16,SUV,4,Auto,6
15990,MAZDA3,Gray,Black,2,2018,25710,MAZDA,37,27,Hatchback,4,Manual,6
11990,SPARK,Gray,Black,2,2017,19657,CHEVROLET,38,30,Hatchback,4,Auto,CVT
20590,124 SPIDER,Gray,Black,1,2017,10784,FIAT,35,26,Convertible,2,Manual,6
30590,2 SERIES,Gray,Leather Black/Red Hghlgt/Stitc,2,2017,18328,BMW,34,23,Convertible,2,Auto,8
13990,IMPALA LIMITED,Silver,Black,2,2014,43233,CHEVROLET,30,18,Sedan,4,Auto,6
13990,GOLF,Gray,Black,2,2015,52334,VOLKSWAGEN,36,25,Sedan,4,Auto,6
14990,GOLF,Silver,Black,2,2015,46152,VOLKSWAGEN,36,25,Sedan,4,Auto,6
13990,CIVIC,Silver,Black,1,2015,72925,HONDA,39,30,Sedan,4,Auto,CVT
27590,DURANGO,Gray,Black,2,2016,54178,DODGE,22,14,SUV,4,Auto,8
21990,OUTBACK,Red,Black,2,2017,42700,SUBARU,32,25,Wagon,4,Auto,CVT
18590,CR-V,Silver,Gray,1,2015,14246,HONDA,34,27,SUV,4,Auto,CVT
22990,1500 CLASSIC REGULAR CAB,Brown,Black/Diesel Gray Interior Colors,2,2019,23149,RAM,25,17,Truck,2,Auto,8
16990,RENEGADE,White,Black,2,2015,71682,JEEP,29,21,SUV,4,Auto,9
12990,SONIC,White,Black,2,2019,23508,CHEVROLET,34,26,Sedan,4,Auto,6
14990,CAMRY,Blue,Tan,1,2012,26937,TOYOTA,35,25,Sedan,4,Auto,6
27590,COLORADO CREW CAB,Brown,Black,2,2016,39646,CHEVROLET,26,18,Truck,4,Auto,6
16990,AVALON,White,Lt. Gray,2,2013,70085,TOYOTA,39,40,Sedan,4,Auto,CVT
16990,FUSION,Silver,Ebony,1,2018,24981,FORD,34,23,Sedan,4,Auto,6
23990,EXPLORER,Silver,Char Black Perf Leather,1,2015,65389,FORD,22,16,SUV,4,Auto,6
22990,FORESTER,Silver,Black,2,2017,26089,SUBARU,32,26,SUV,4,Auto,CVT
15590,SOUL,Gray,Black,2,2018,10851,KIA,30,25,Wagon,4,Auto,6
30990,RDX,White,Tan,1,2019,24985,ACURA,28,22,SUV,4,Auto,10
20990,FRONTIER CREW CAB,Black,Lt. Gray,2,2014,46531,NISSAN,22,16,Truck,4,Auto,5
16990,ROGUE,White,Black,2,2017,11021,NISSAN,33,26,SUV,4,Auto,CVT
17990,KONA,Gray,Black/Black,1,2019,27489,HYUNDAI,33,27,SUV,4,Auto,6
16590,GRAND CARAVAN PASSENGER,Black,Black,2,2017,70432,DODGE,25,17,Minivan,4,Auto,6
28590,4RUNNER,Black,Black,2,2015,45017,TOYOTA,22,17,SUV,4,Auto,5
12990,TRAX,White,Black,2,2015,71582,CHEVROLET,34,26,SUV,4,Auto,6
13990,COROLLA,Gray,Black,2,2016,65048,TOYOTA,38,29,Sedan,4,Auto,CVT
27990,GLC,Red,Black,2,2016,37941,MERCEDES-BENZ,28,21,SUV,4,Auto,9
12990,SONIC,Blue,Black,2,2018,59801,CHEVROLET,34,24,Sedan,4,Auto,6
17990,MAZDA3,White,Black,1,2018,14840,MAZDA,35,26,Hatchback,4,Auto,6
19990,C-HR,White,Black,1,2018,10597,TOYOTA,31,27,SUV,4,Auto,CVT
18990,CHEROKEE,White,Black,1,2018,23736,JEEP,30,21,SUV,4,Auto,9
15590,PRIUS,Blue,Gray,1,2014,47302,TOYOTA,48,51,Hatchback,4,Auto,CVT
14990,JETTA,Gray,Black,2,2013,39198,VOLKSWAGEN,37,29,Sedan,4,Auto,6
22990,LEGACY,Blue,Black,2,2018,10471,SUBARU,34,25,Sedan,4,Auto,CVT
11590,CIVIC,Red,Gray,1,2012,89399,HONDA,39,28,Coupe,2,Auto,5
18990,HR-V,Black,Black,2,2016,26006,HONDA,35,28,SUV,4,Auto,CVT
18990,C-HR,Black,Black,1,2019,8800,TOYOTA,31,27,SUV,4,Auto,CVT
32990,4 SERIES,White,Black,2,2019,12002,BMW,34,24,Sedan,4,Auto,8
20590,HARDTOP 4 DOOR,White,Black,2,2018,10960,MINI,35,27,Hatchback,4,Auto,6
20990,TLX,Black,Brown,1,2015,36317,ACURA,34,21,Sedan,4,Auto,9
13590,200,Gray,Lt. Gray,2,2016,70799,CHRYSLER,36,23,Sedan,4,Auto,9
20990,CAMRY HYBRID,Blue,Gray,1,2017,27179,TOYOTA,37,40,Sedan,4,Auto,CVT
21590,SPORTAGE,Black,Black,2,2018,25635,KIA,25,21,SUV,4,Auto,6
16990,CX-3,White,Black,2,2016,36329,MAZDA,32,27,SUV,4,Auto,6
31590,SIERRA 1500 CREW CAB,Brown,Lt. Brown,2,2015,35740,GMC,24,18,Truck,4,Auto,6
34990,4RUNNER,Black,Beige,2,2019,17052,TOYOTA,21,17,SUV,4,Auto,5
15990,CX-5,Silver,Black,1,2016,51111,MAZDA,33,26,SUV,4,Auto,6
32590,STELVIO,White,Black/Black Interior Colors,2,2018,19988,ALFA_ROMEO,28,22,SUV,4,Auto,8
11590,JUKE,Black,Black,2,2011,102434,NISSAN,32,27,SUV,4,Auto,CVT
12590,IA,Gray,Black,1,2016,44898,SCION,42,33,Sedan,4,Auto,6
21590,FRONTIER CREW CAB,Gray,Lt. Gray,2,2015,19411,NISSAN,22,16,Truck,4,Auto,5
32990,WRANGLER,Silver,Black,2,2012,34293,JEEP,20,16,SUV,4,Auto,5
17590,CT,Black,Beige,1,2015,54530,LEXUS,40,43,Hatchback,4,Auto,CVT
34990,F-PACE,White,Black,2,2017,67513,JAGUAR,23,18,SUV,4,Auto,8
22990,CX-9,White,Black,2,2016,39357,MAZDA,28,22,SUV,4,Auto,6
22990,C-CLASS,White,Black,2,2015,27663,MERCEDES-BENZ,34,25,Sedan,4,Auto,7
13590,EQUINOX,Blue,Black,2,2013,90829,CHEVROLET,29,20,SUV,4,Auto,6
16990,MAZDA3,Silver,Black,2,2017,12376,MAZDA,37,28,Hatchback,4,Auto,6
29990,IS,Gray,Black,2,2018,10099,LEXUS,32,22,Sedan,4,Auto,8
18990,IMPREZA,Black,Beige,2,2019,10101,SUBARU,36,28,Wagon,4,Auto,CVT
26990,HARDTOP 2 DOOR,White,Black,2,2019,8088,MINI,32,25,Hatchback,2,Auto,6
16990,KICKS,Silver,Charcoal,1,2019,31359,NISSAN,36,31,SUV,4,Auto,CVT
13990,FORTE,Red,Black,2,2016,50000,KIA,35,24,Sedan,4,Auto,6
14990,MAZDA3,Blue,Black,2,2016,26634,MAZDA,41,30,Sedan,4,Auto,6
16990,SRX,Black,Beige,2,2014,53807,CADILLAC,24,17,SUV,4,Auto,6
30990,MUSTANG,Red,Ebony Leather Seats,2,2015,15878,FORD,25,16,Convertible,2,Auto,6
12590,MAZDA3,Brown,Black,2,2014,91325,MAZDA,40,29,Hatchback,4,Manual,6
15990,PRIUS,Black,Gray,1,2015,48430,TOYOTA,48,51,Hatchback,4,Auto,CVT
22990,SIENNA,Gray,Gray,2,2017,22463,TOYOTA,27,19,Minivan,4,Auto,8
22990,A6,Silver,Black,2,2014,47282,AUDI,27,18,Sedan,4,Auto,8
30590,X1,Gray,Black,2,2017,8472,BMW,31,22,SUV,4,Auto,8
14590,JUKE,Blue,Black,2,2014,52859,NISSAN,31,27,SUV,4,Auto,CVT
16590,SOUL,Blue,Other,2,2016,14013,KIA,31,24,Wagon,4,Auto,6
23990,COUNTRYMAN,Gray,Black,1,2017,31306,MINI,32,23,Hatchback,4,Auto,8
25990,RANGE ROVER EVOQUE,White,Black,2,2013,18716,LAND_ROVER,28,20,SUV,4,Auto,6
20990,124 SPIDER,Brown,Black,2,2017,19616,FIAT,36,25,Convertible,2,Auto,6
23590,C-CLASS,White,Black,2,2017,45233,MERCEDES-BENZ,34,24,Sedan,4,Auto,7
18990,HR-V,Blue,Gray,2,2016,23885,HONDA,32,27,SUV,4,Auto,CVT
17990,PASSAT,Gray,Black,2,2018,31534,VOLKSWAGEN,36,25,Sedan,4,Auto,6
11990,SENTRA,White,Dk. Gray,2,2013,12686,NISSAN,39,30,Sedan,4,Auto,CVT
24590,Q70,Gray,Black,2,2015,76980,INFINITI,24,16,Sedan,4,Auto,7
33990,Q5,Blue,Beige,2,2018,23858,AUDI,27,23,SUV,4,Auto,7
11990,FIESTA,White,Charcoal Black Leather Seat,2,2015,41673,FORD,37,27,Hatchback,4,Auto,6
25990,WRANGLER,Blue,Black,2,2014,84987,JEEP,21,16,SUV,4,Manual,6
19990,CR-V,Blue,Gray,2,2016,18426,HONDA,33,26,SUV,4,Auto,CVT
21990,CHEROKEE,White,Black,1,2017,30001,JEEP,29,21,SUV,4,Auto,9
19590,3 SERIES,White,Black,2,2015,44553,BMW,35,23,Sedan,4,Auto,8
15590,ROGUE,White,Beige,2,2014,56292,NISSAN,33,26,SUV,4,Auto,CVT
21990,WRANGLER,Blue,Beige,2,2010,42030,JEEP,19,15,SUV,2,Manual,6
14990,PATRIOT,White,Dk. Gray,1,2017,51374,JEEP,26,22,SUV,4,Auto,CVT
19990,GOLF GTI,Black,Black,2,2016,19712,VOLKSWAGEN,33,25,Sedan,4,Auto,6
16990,NIRO,White,Charcoal,2,2018,35871,KIA,46,51,Wagon,4,Auto,6
15990,ALTIMA,Red,Beige,2,2017,41999,NISSAN,39,27,Sedan,4,Auto,CVT
20990,A3,Black,Brown,2,2017,26434,AUDI,35,26,Sedan,4,Auto,6
21990,A4,White,Black,2,2016,30110,AUDI,30,21,Sedan,4,Auto,8
11990,SOUL,Black,Black,2,2015,86724,KIA,30,24,Wagon,4,Auto,6
14990,G,Gray,Gray,2,2012,85830,INFINITI,27,19,Sedan,4,Auto,7
18590,ESCAPE,Black,Med Light Stone Leather Sea,2,2014,35346,FORD,30,22,SUV,4,Auto,6
11590,JETTA,Silver,Black,1,2014,75305,VOLKSWAGEN,36,25,Sedan,4,Auto,6
20590,GOLF GTI,Silver,Black,2,2017,45042,VOLKSWAGEN,32,24,Sedan,4,Auto,6
21590,OUTBACK,White,Black,1,2016,45499,SUBARU,33,25,Wagon,4,Auto,CVT
19990,A3,Blue,Black,2,2016,50889,AUDI,33,24,Sedan,4,Auto,6
14990,FORTE,Black,Gray,2,2017,10430,KIA,33,25,Sedan,4,Auto,6
15990,COROLLA,White,Black,1,2017,37276,TOYOTA,35,27,Sedan,4,Manual,6
23990,PILOT,Blue,Gray,1,2017,38210,HONDA,27,19,SUV,4,Auto,6
15990,CR-V,White,Black,2,2014,58775,HONDA,31,23,SUV,4,Auto,5
23990,124 SPIDER,White,Black,1,2017,12886,FIAT,35,26,Convertible,2,Manual,6
17590,ROGUE SPORT,Blue,Lt. Gray,2,2017,17184,NISSAN,30,24,SUV,4,Auto,CVT
20990,GOLF ALLTRACK,White,Brown,2,2017,35490,VOLKSWAGEN,30,22,Wagon,4,Auto,6
19990,CAMARO,Silver,Black,2,2015,47129,CHEVROLET,30,19,Convertible,2,Auto,6
20990,FUSION,Silver,Ebony,2,2018,18575,FORD,29,20,Sedan,4,Auto,6
14590,ENCORE,Red,Lt. Gray,2,2015,38926,BUICK,33,25,SUV,4,Auto,6
22990,IS,Gray,Black,2,2014,40018,LEXUS,30,21,Sedan,4,Auto,6
18990,CHEROKEE,Gray,Black,1,2018,42108,JEEP,30,21,SUV,4,Auto,9
23990,CX-5,Red,Black,1,2020,9916,MAZDA,31,25,SUV,4,Auto,6
19590,HR-V,Red,Black,2,2016,14630,HONDA,32,27,SUV,4,Auto,CVT
16590,OUTLANDER SPORT,Silver,Gray,2,2018,23583,MITSUBISHI,30,24,SUV,4,Auto,CVT
18990,2 SERIES,Silver,Black,2,2014,38695,BMW,35,23,Coupe,2,Auto,8
12990,FUSION,Silver,Charcoal Blk Lthr Trim Seat,2,2014,69899,FORD,36,23,Sedan,4,Auto,6
20590,CHEROKEE,Burgundy,Black,2,2015,70816,JEEP,26,19,SUV,4,Auto,9
10990,ACCENT,Silver,Gray,1,2013,43093,HYUNDAI,37,28,Hatchback,4,Auto,6
33590,RDX,Red,Tan,2,2019,11570,ACURA,28,22,SUV,4,Auto,10
21990,MUSTANG,Red,Char Black Turned Mini Leat,1,2014,81809,FORD,26,15,Convertible,2,Manual,6
17590,RAV4,Red,Gray,1,2015,29456,TOYOTA,31,24,SUV,4,Auto,6
18590,RX,White,Black,1,2011,78861,LEXUS,25,18,SUV,4,Auto,6
13590,PRIUS C,White,Lt. Blue,1,2013,39459,TOYOTA,46,53,Hatchback,4,Auto,CVT
16990,RAV4,White,Black,1,2013,94983,TOYOTA,29,22,SUV,4,Auto,6
19990,SENTRA,Black,Black,2,2020,12313,NISSAN,37,28,Sedan,4,Auto,CVT
23990,A7,White,Beige,2,2013,72000,AUDI,28,18,Sedan,4,Auto,8
15990,RENEGADE,White,Black,1,2017,54729,JEEP,30,22,SUV,4,Auto,9
24990,HARDTOP 4 DOOR,Red,Black,2,2019,15022,MINI,32,25,Hatchback,4,Auto,6
18990,MKX,White,Lt Stone Leather Blackets,2,2013,48527,LINCOLN,26,19,SUV,4,Auto,6
15590,COROLLA,Blue,Black,1,2017,18959,TOYOTA,36,28,Sedan,4,Auto,CVT
12990,IM,White,Black,2,2016,68938,SCION,37,28,Hatchback,4,Auto,CVT
34990,GLA,White,Beige,2,2020,7505,MERCEDES-BENZ,34,24,SUV,4,Auto,7
18990,RAV4,White,Black,2,2016,44862,TOYOTA,31,24,SUV,4,Auto,6
18990,A6,Silver,Black,2,2012,69917,AUDI,28,19,Sedan,4,Auto,8
13990,MALIBU,Blue,Jet Black/Titanium,2,2014,63242,CHEVROLET,30,21,Sedan,4,Auto,6
20990,GRAND CHEROKEE,Red,Black,1,2013,37377,JEEP,23,17,SUV,4,Auto,5
12990,CIVIC,Brown,Beige,1,2014,41574,HONDA,39,30,Sedan,4,Auto,CVT
16990,SIENNA,White,Black,1,2011,43444,TOYOTA,24,18,Minivan,4,Auto,6
18990,HR-V,Silver,Gray,2,2016,8207,HONDA,35,28,SUV,4,Auto,CVT
13990,FORTE,Red,Black,2,2018,27014,KIA,37,29,Sedan,4,Auto,6
12990,SONATA,Silver,Gray,2,2015,66307,HYUNDAI,37,25,Sedan,4,Auto,6
12990,COROLLA,Silver,Gray,1,2015,45418,TOYOTA,38,29,Sedan,4,Auto,CVT
18990,MAZDA6,Gray,Black,1,2017,12996,MAZDA,35,26,Sedan,4,Auto,6
16590,JUKE,White,Black,1,2017,34471,NISSAN,32,28,SUV,4,Auto,CVT
20590,1500 REGULAR CAB,White,Black,2,2014,71352,RAM,20,14,Truck,2,Auto,6
20990,GOLF GTI,Black,Black,1,2017,21748,VOLKSWAGEN,32,24,Sedan,4,Auto,6
21990,SRX,Purple,Beige,2,2015,58739,CADILLAC,23,16,SUV,4,Auto,6
12590,PRIUS V,Silver,Gray,1,2013,80080,TOYOTA,40,44,Wagon,4,Auto,CVT
18590,CT,Black,Black,1,2015,59418,LEXUS,40,43,Hatchback,4,Auto,CVT
15990,ACCORD,Brown,Black,2,2013,50268,HONDA,35,26,Coupe,2,Auto,CVT
14590,SOUL,Silver,Black,1,2018,26335,KIA,30,25,Wagon,4,Auto,6
13590,JETTA SPORTWAGEN,Blue,Black,1,2014,55514,VOLKSWAGEN,30,23,Wagon,4,Auto,6
16590,5 SERIES,Gray,Beige,2,2012,73899,BMW,34,23,Sedan,4,Auto,8
25990,AVALANCHE,Silver,Gray,1,2012,66475,CHEVROLET,21,15,SUV,4,Auto,6
15590,PRIUS V,Blue,Tan,1,2014,67085,TOYOTA,40,44,Wagon,4,Auto,CVT
17990,LACROSSE,Beige,Beige,2,2014,12323,BUICK,36,25,Sedan,4,Auto,6
28590,E-CLASS,White,Black Leather,2,2014,39526,MERCEDES-BENZ,28,19,Convertible,2,Auto,7
17990,ECOSPORT,Blue,Ebony Blk Unique Cloth Seat,1,2019,12100,FORD,29,27,SUV,4,Auto,6
20990,PACIFICA,Silver,Black,1,2019,47412,CHRYSLER,28,18,Minivan,4,Auto,9
20990,E-CLASS,Silver,Gray,2,2014,62652,MERCEDES-BENZ,30,21,Sedan,4,Auto,7
18990,TIGUAN,Black,Black,2,2018,27811,VOLKSWAGEN,27,22,SUV,4,Auto,8
25990,Q5,Gray,Black,2,2016,41985,AUDI,28,20,SUV,4,Auto,8
16590,VERANO,Gray,Black,1,2014,9996,BUICK,32,21,Sedan,4,Auto,6
19990,RENEGADE,Gray,Black,2,2017,18694,JEEP,29,21,SUV,4,Auto,9
16590,COROLLA,Red,Black,1,2017,27832,TOYOTA,36,28,Sedan,4,Auto,CVT
14590,ATS,Silver,Black,2,2013,79470,CADILLAC,33,22,Sedan,4,Auto,6
19590,RAV4,White,Black,2,2015,42643,TOYOTA,29,22,SUV,4,Auto,6
22590,RX,Silver,Black,1,2014,70248,LEXUS,25,18,SUV,4,Auto,6
22990,GLK-CLASS,Red,Beige,2,2015,46037,MERCEDES-BENZ,25,19,SUV,4,Auto,7
19990,MX-5 MIATA,White,Black,2,2016,41843,MAZDA,34,27,Convertible,2,Manual,6
32990,WRANGLER UNLIMITED,White,Black Interior Color,2,2017,10935,JEEP,20,16,SUV,4,Auto,5
17990,RLX,Black,Gray,2,2014,91091,ACURA,31,20,Sedan,4,Auto,6
16990,G,Beige,Beige,1,2013,61359,INFINITI,26,19,Sedan,4,Auto,7
15990,TOWN & COUNTRY,Black,Black,1,2014,30453,CHRYSLER,25,17,Minivan,4,Auto,6
26590,X3,Gray,Beige,1,2017,23457,BMW,28,21,SUV,4,Auto,8
18590,ENCLAVE,Red,Lt. Gray,2,2014,73206,BUICK,24,17,SUV,4,Auto,6
25990,PACIFICA,White,Black / Alloy Interior Colors,2,2018,35670,CHRYSLER,28,18,Minivan,4,Auto,9
16990,ROGUE SPORT,Black,Black,1,2019,41793,NISSAN,30,24,SUV,4,Auto,CVT
19990,ACADIA,White,Black,2,2017,53951,GMC,26,21,SUV,4,Auto,6
33990,A8,Gray,Brown,2,2014,51067,AUDI,26,16,Sedan,4,Auto,8
34990,4RUNNER,White,Black,2,2017,37727,TOYOTA,20,17,SUV,4,Auto,5
27590,GIULIA,Black,Black Interior Color W/Dark Gray Accent Stitching,2,2018,16972,ALFA_ROMEO,31,23,Sedan,4,Auto,8
13990,SENTRA,White,Charcoal,1,2019,20409,NISSAN,35,27,Sedan,4,Manual,6
18990,CX-3,Red,Black,2,2018,19524,MAZDA,34,29,SUV,4,Auto,6
11990,FOCUS,Red,Charcoal Black Leather Seat,1,2014,22927,FORD,37,26,Hatchback,4,Auto,6
23990,M-CLASS,Silver,Gray,2,2014,49939,MERCEDES-BENZ,24,18,SUV,4,Auto,7
13990,FIESTA,Black,Charcoal Black Cloth Seats,1,2018,9243,FORD,37,27,Sedan,4,Auto,6
34990,XC40,Red,Beige,1,2019,18446,VOLVO,31,23,SUV,4,Auto,8
23590,NIRO,White,Light Gray,2,2018,10586,KIA,40,46,Wagon,4,Auto,6
22590,CX-9,Red,Black,1,2018,44929,MAZDA,28,22,SUV,4,Auto,6
25990,NX,Silver,Creme,2,2017,23089,LEXUS,28,22,SUV,4,Auto,6
18990,SANTA FE SPORT,Gray,Beige/Beige,1,2018,15632,HYUNDAI,27,21,SUV,4,Auto,6
19990,AVALON,Silver,Black,1,2015,51644,TOYOTA,39,40,Sedan,4,Auto,CVT
31590,RC,Red,Beige,2,2016,27613,LEXUS,26,19,Coupe,2,Auto,6
19590,500X,Blue,Black Interior Colors,2,2017,8462,FIAT,29,21,SUV,4,Auto,9
19990,SANTA FE SPORT,Gray,Gray,1,2018,10397,HYUNDAI,27,21,SUV,4,Auto,6
16990,ACCORD,Black,Black,2,2013,55290,HONDA,32,21,Sedan,4,Auto,6
27990,E-CLASS,Gray,Black,2,2016,26794,MERCEDES-BENZ,29,20,Sedan,4,Auto,7
18590,300,White,Black,1,2014,45797,CHRYSLER,31,19,Sedan,4,Auto,8
19990,MAZDA3,Red,Black,1,2013,61386,MAZDA,25,18,Hatchback,4,Manual,6
23590,XT5,White,Beige,2,2017,35650,CADILLAC,27,19,SUV,4,Auto,8
26990,NX,Black,Tan,1,2017,35045,LEXUS,28,22,SUV,4,Auto,6
30990,TITAN KING CAB,Silver,Black,2,2018,13146,NISSAN,21,15,Truck,4,Auto,7
22590,HIGHLANDER,White,Gray,1,2015,74597,TOYOTA,24,18,SUV,4,Auto,6
17990,OUTLANDER,White,Black,2,2017,30455,MITSUBISHI,30,25,SUV,4,Auto,CVT
17590,GOLF GTI,White,Black,2,2015,48384,VOLKSWAGEN,34,25,Sedan,4,Manual,6
21990,GLA-CLASS,Gray,Gray,2,2015,60864,MERCEDES-BENZ,32,24,SUV,4,Auto,7
16590,PILOT,White,Gray,2,2012,100702,HONDA,25,18,SUV,4,Auto,5
27590,SQ5,Blue,Black,2,2016,77862,AUDI,24,17,SUV,4,Auto,8
18990,SORENTO,Blue,Beige,1,2017,42257,KIA,23,17,SUV,4,Auto,6
13990,CAMRY,Silver,Gray,1,2014,68855,TOYOTA,35,25,Sedan,4,Auto,6
12990,MAZDA3,Blue,Black,2,2016,76966,MAZDA,41,30,Sedan,4,Auto,6
19590,SANTA FE,Brown,Black,1,2019,31320,HYUNDAI,27,21,SUV,4,Auto,8
23990,A3,Blue,Brown,2,2017,22095,AUDI,35,26,Sedan,4,Auto,6
9590,500,Gray,Black,1,2012,58137,FIAT,38,30,Hatchback,2,Manual,5
17590,ENCLAVE,White,Brown,2,2013,82149,BUICK,24,17,SUV,4,Auto,6
15990,ECLIPSE CROSS,White,Black,1,2018,33924,MITSUBISHI,29,26,SUV,4,Auto,CVT
16590,LEGACY,Blue,Slate Black,2,2017,25994,SUBARU,34,25,Sedan,4,Auto,CVT
12990,SPARK,White,Jet Black,2,2019,11938,CHEVROLET,38,30,Hatchback,4,Auto,CVT
25990,EDGE,Black,Ebony Perf Lthr-Trim Seats,1,2019,35243,FORD,29,22,SUV,4,Auto,8
25590,X1,Black,Black,1,2017,33148,BMW,32,23,SUV,4,Auto,8
13590,FUSION,Beige,Dune Cloth Seats,1,2015,42001,FORD,34,22,Sedan,4,Auto,6
19990,MDX,Black,Black,2,2014,98189,ACURA,28,20,SUV,4,Auto,6
29990,A7,Gray,Black,2,2014,45734,AUDI,28,18,Sedan,4,Auto,8
30990,MUSTANG,Black,Ebony Lthr Trm Power Seats,1,2017,25114,FORD,25,15,Coupe,2,Manual,6
26990,SIENNA,Black,Gray,1,2017,21829,TOYOTA,27,19,Minivan,4,Auto,8
22990,CONVERTIBLE,Blue,Black,1,2017,39028,MINI,36,27,Convertible,2,Auto,6
16990,ROGUE SPORT,Gray,Charcoal,2,2018,42906,NISSAN,30,24,SUV,4,Auto,CVT
13590,PASSAT,Silver,Titan Black,1,2016,96350,VOLKSWAGEN,38,25,Sedan,4,Auto,6
16990,ROGUE SPORT,White,Charcoal,2,2017,35218,NISSAN,30,24,SUV,4,Auto,CVT
20590,CLA-CLASS,Black,Black,2,2015,51634,MERCEDES-BENZ,38,26,Coupe,4,Auto,7
12990,PASSAT,Silver,Beige,1,2013,43678,VOLKSWAGEN,31,22,Sedan,4,Auto,6
30990,QX70,Black,Black,2,2017,19471,INFINITI,24,17,SUV,4,Auto,7
12990,ALTIMA,Red,Dk. Gray,1,2015,59196,NISSAN,38,27,Sedan,4,Auto,CVT
13590,MAZDA3,Gray,Black,2,2014,80558,MAZDA,41,30,Sedan,4,Auto,6
12990,CIVIC,Black,Black,2,2013,62107,HONDA,39,28,Sedan,4,Auto,5
13990,YARIS IA,Blue,Mid Blue Black,1,2018,24692,TOYOTA,39,30,Sedan,4,Manual,6
19990,CAMARO,Black,Black,1,2013,37228,CHEVROLET,30,19,Coupe,2,Auto,6
25990,NX,White,Dk. Red,1,2016,54561,LEXUS,28,22,SUV,4,Auto,6
11990,ELANTRA GT,White,Black/Black,1,2016,74547,HYUNDAI,33,24,Hatchback,4,Auto,6
25990,ATLAS,White,Black,1,2019,40111,VOLKSWAGEN,24,17,SUV,4,Auto,8
16990,AVALON,Gray,Lt. Gray,1,2015,89730,TOYOTA,39,40,Sedan,4,Auto,CVT
12590,CRUZE LIMITED,Silver,Black,2,2016,60033,CHEVROLET,38,26,Sedan,4,Auto,6
14990,SENTRA,Gray,Black,2,2018,18726,NISSAN,37,29,Sedan,4,Auto,CVT
20990,SRX,Black,Gray,1,2015,54420,CADILLAC,24,17,SUV,4,Auto,6
31590,COLORADO CREW CAB,Blue,Black,2,2017,25645,CHEVROLET,25,18,Truck,4,Auto,6
21990,MKZ,Beige,Cappuccino Leather,1,2018,58566,LINCOLN,38,41,Sedan,4,Auto,CVT
24990,TLX,Silver,Black,2,2018,25153,ACURA,32,20,Sedan,4,Auto,9
13590,IMPREZA,Burgundy,Beige,1,2013,99562,SUBARU,36,27,Wagon,4,Auto,CVT
12590,JETTA SPORTWAGEN,White,Beige,2,2012,89472,VOLKSWAGEN,37,29,Wagon,4,Auto,6
24990,TLX,Gray,Black,2,2018,31279,ACURA,32,20,Sedan,4,Auto,9
12990,SONATA,White,Beige,2,2011,76326,HYUNDAI,35,22,Sedan,4,Auto,6
25990,PACIFICA,Black,Black,2,2020,33124,CHRYSLER,28,19,Minivan,4,Auto,9
